"date","Freq","Month","counttav"
2015-12-10,32,"2015-12",46.8181818181818
2015-12-11,54,"2015-12",46.8181818181818
2015-12-12,49,"2015-12",46.8181818181818
2015-12-13,48,"2015-12",46.8181818181818
2015-12-14,49,"2015-12",46.8181818181818
2015-12-15,47,"2015-12",46.8181818181818
2015-12-16,47,"2015-12",46.8181818181818
2015-12-17,48,"2015-12",46.8181818181818
2015-12-18,44,"2015-12",46.8181818181818
2015-12-19,45,"2015-12",46.8181818181818
2015-12-20,45,"2015-12",46.8181818181818
2015-12-21,46,"2015-12",46.8181818181818
2015-12-22,42,"2015-12",46.8181818181818
2015-12-23,47,"2015-12",46.8181818181818
2015-12-24,53,"2015-12",46.8181818181818
2015-12-25,50,"2015-12",46.8181818181818
2015-12-26,44,"2015-12",46.8181818181818
2015-12-27,45,"2015-12",46.8181818181818
2015-12-28,57,"2015-12",46.8181818181818
2015-12-29,47,"2015-12",46.8181818181818
2015-12-30,47,"2015-12",46.8181818181818
2015-12-31,44,"2015-12",46.8181818181818
2016-01-01,44,"2016-01",47.9032258064516
2016-01-02,39,"2016-01",47.9032258064516
2016-01-03,48,"2016-01",47.9032258064516
2016-01-04,56,"2016-01",47.9032258064516
2016-01-05,51,"2016-01",47.9032258064516
2016-01-06,50,"2016-01",47.9032258064516
2016-01-07,51,"2016-01",47.9032258064516
2016-01-08,48,"2016-01",47.9032258064516
2016-01-09,46,"2016-01",47.9032258064516
2016-01-10,50,"2016-01",47.9032258064516
2016-01-11,47,"2016-01",47.9032258064516
2016-01-12,49,"2016-01",47.9032258064516
2016-01-13,50,"2016-01",47.9032258064516
2016-01-14,59,"2016-01",47.9032258064516
2016-01-15,49,"2016-01",47.9032258064516
2016-01-16,41,"2016-01",47.9032258064516
2016-01-17,44,"2016-01",47.9032258064516
2016-01-18,48,"2016-01",47.9032258064516
2016-01-19,50,"2016-01",47.9032258064516
2016-01-20,45,"2016-01",47.9032258064516
2016-01-21,46,"2016-01",47.9032258064516
2016-01-22,47,"2016-01",47.9032258064516
2016-01-23,49,"2016-01",47.9032258064516
2016-01-24,51,"2016-01",47.9032258064516
2016-01-25,45,"2016-01",47.9032258064516
2016-01-26,46,"2016-01",47.9032258064516
2016-01-27,47,"2016-01",47.9032258064516
2016-01-28,46,"2016-01",47.9032258064516
2016-01-29,46,"2016-01",47.9032258064516
2016-01-30,51,"2016-01",47.9032258064516
2016-01-31,46,"2016-01",47.9032258064516
2016-02-01,46,"2016-02",48.2068965517241
2016-02-02,45,"2016-02",48.2068965517241
2016-02-03,51,"2016-02",48.2068965517241
2016-02-04,47,"2016-02",48.2068965517241
2016-02-05,48,"2016-02",48.2068965517241
2016-02-06,45,"2016-02",48.2068965517241
2016-02-07,44,"2016-02",48.2068965517241
2016-02-08,52,"2016-02",48.2068965517241
2016-02-09,42,"2016-02",48.2068965517241
2016-02-10,48,"2016-02",48.2068965517241
2016-02-11,48,"2016-02",48.2068965517241
2016-02-12,48,"2016-02",48.2068965517241
2016-02-13,45,"2016-02",48.2068965517241
2016-02-14,41,"2016-02",48.2068965517241
2016-02-15,46,"2016-02",48.2068965517241
2016-02-16,51,"2016-02",48.2068965517241
2016-02-17,42,"2016-02",48.2068965517241
2016-02-18,48,"2016-02",48.2068965517241
2016-02-19,46,"2016-02",48.2068965517241
2016-02-20,53,"2016-02",48.2068965517241
2016-02-21,49,"2016-02",48.2068965517241
2016-02-22,47,"2016-02",48.2068965517241
2016-02-23,47,"2016-02",48.2068965517241
2016-02-24,61,"2016-02",48.2068965517241
2016-02-25,55,"2016-02",48.2068965517241
2016-02-26,49,"2016-02",48.2068965517241
2016-02-27,51,"2016-02",48.2068965517241
2016-02-28,51,"2016-02",48.2068965517241
2016-02-29,52,"2016-02",48.2068965517241
2016-03-01,48,"2016-03",47.7741935483871
2016-03-02,50,"2016-03",47.7741935483871
2016-03-03,49,"2016-03",47.7741935483871
2016-03-04,48,"2016-03",47.7741935483871
2016-03-05,45,"2016-03",47.7741935483871
2016-03-06,44,"2016-03",47.7741935483871
2016-03-07,46,"2016-03",47.7741935483871
2016-03-08,54,"2016-03",47.7741935483871
2016-03-09,55,"2016-03",47.7741935483871
2016-03-10,47,"2016-03",47.7741935483871
2016-03-11,46,"2016-03",47.7741935483871
2016-03-12,48,"2016-03",47.7741935483871
2016-03-13,47,"2016-03",47.7741935483871
2016-03-14,48,"2016-03",47.7741935483871
2016-03-15,44,"2016-03",47.7741935483871
2016-03-16,50,"2016-03",47.7741935483871
2016-03-17,49,"2016-03",47.7741935483871
2016-03-18,47,"2016-03",47.7741935483871
2016-03-19,43,"2016-03",47.7741935483871
2016-03-20,46,"2016-03",47.7741935483871
2016-03-21,44,"2016-03",47.7741935483871
2016-03-22,46,"2016-03",47.7741935483871
2016-03-23,47,"2016-03",47.7741935483871
2016-03-24,49,"2016-03",47.7741935483871
2016-03-25,49,"2016-03",47.7741935483871
2016-03-26,49,"2016-03",47.7741935483871
2016-03-27,39,"2016-03",47.7741935483871
2016-03-28,49,"2016-03",47.7741935483871
2016-03-29,56,"2016-03",47.7741935483871
2016-03-30,51,"2016-03",47.7741935483871
2016-03-31,48,"2016-03",47.7741935483871
2016-04-01,48,"2016-04",49.3666666666667
2016-04-02,54,"2016-04",49.3666666666667
2016-04-03,51,"2016-04",49.3666666666667
2016-04-04,49,"2016-04",49.3666666666667
2016-04-05,53,"2016-04",49.3666666666667
2016-04-06,46,"2016-04",49.3666666666667
2016-04-07,47,"2016-04",49.3666666666667
2016-04-08,45,"2016-04",49.3666666666667
2016-04-09,47,"2016-04",49.3666666666667
2016-04-10,48,"2016-04",49.3666666666667
2016-04-11,50,"2016-04",49.3666666666667
2016-04-12,41,"2016-04",49.3666666666667
2016-04-13,45,"2016-04",49.3666666666667
2016-04-14,49,"2016-04",49.3666666666667
2016-04-15,56,"2016-04",49.3666666666667
2016-04-16,49,"2016-04",49.3666666666667
2016-04-17,53,"2016-04",49.3666666666667
2016-04-18,50,"2016-04",49.3666666666667
2016-04-19,60,"2016-04",49.3666666666667
2016-04-20,51,"2016-04",49.3666666666667
2016-04-21,47,"2016-04",49.3666666666667
2016-04-22,53,"2016-04",49.3666666666667
2016-04-23,50,"2016-04",49.3666666666667
2016-04-24,55,"2016-04",49.3666666666667
2016-04-25,53,"2016-04",49.3666666666667
2016-04-26,45,"2016-04",49.3666666666667
2016-04-27,47,"2016-04",49.3666666666667
2016-04-28,48,"2016-04",49.3666666666667
2016-04-29,48,"2016-04",49.3666666666667
2016-04-30,43,"2016-04",49.3666666666667
2016-05-01,33,"2016-05",48.258064516129
2016-05-02,43,"2016-05",48.258064516129
2016-05-03,46,"2016-05",48.258064516129
2016-05-04,47,"2016-05",48.258064516129
2016-05-05,51,"2016-05",48.258064516129
2016-05-06,46,"2016-05",48.258064516129
2016-05-07,50,"2016-05",48.258064516129
2016-05-08,48,"2016-05",48.258064516129
2016-05-09,46,"2016-05",48.258064516129
2016-05-10,47,"2016-05",48.258064516129
2016-05-11,51,"2016-05",48.258064516129
2016-05-12,45,"2016-05",48.258064516129
2016-05-13,49,"2016-05",48.258064516129
2016-05-14,46,"2016-05",48.258064516129
2016-05-15,45,"2016-05",48.258064516129
2016-05-16,46,"2016-05",48.258064516129
2016-05-17,51,"2016-05",48.258064516129
2016-05-18,48,"2016-05",48.258064516129
2016-05-19,50,"2016-05",48.258064516129
2016-05-20,48,"2016-05",48.258064516129
2016-05-21,49,"2016-05",48.258064516129
2016-05-22,51,"2016-05",48.258064516129
2016-05-23,49,"2016-05",48.258064516129
2016-05-24,47,"2016-05",48.258064516129
2016-05-25,51,"2016-05",48.258064516129
2016-05-26,52,"2016-05",48.258064516129
2016-05-27,52,"2016-05",48.258064516129
2016-05-28,55,"2016-05",48.258064516129
2016-05-29,55,"2016-05",48.258064516129
2016-05-30,51,"2016-05",48.258064516129
2016-05-31,48,"2016-05",48.258064516129
2016-06-01,50,"2016-06",51.3333333333333
2016-06-02,51,"2016-06",51.3333333333333
2016-06-03,51,"2016-06",51.3333333333333
2016-06-04,53,"2016-06",51.3333333333333
2016-06-05,45,"2016-06",51.3333333333333
2016-06-06,48,"2016-06",51.3333333333333
2016-06-07,52,"2016-06",51.3333333333333
2016-06-08,54,"2016-06",51.3333333333333
2016-06-09,57,"2016-06",51.3333333333333
2016-06-10,54,"2016-06",51.3333333333333
2016-06-11,54,"2016-06",51.3333333333333
2016-06-12,56,"2016-06",51.3333333333333
2016-06-13,53,"2016-06",51.3333333333333
2016-06-14,52,"2016-06",51.3333333333333
2016-06-15,48,"2016-06",51.3333333333333
2016-06-16,53,"2016-06",51.3333333333333
2016-06-17,53,"2016-06",51.3333333333333
2016-06-18,50,"2016-06",51.3333333333333
2016-06-19,47,"2016-06",51.3333333333333
2016-06-20,44,"2016-06",51.3333333333333
2016-06-21,51,"2016-06",51.3333333333333
2016-06-22,49,"2016-06",51.3333333333333
2016-06-23,54,"2016-06",51.3333333333333
2016-06-24,55,"2016-06",51.3333333333333
2016-06-25,54,"2016-06",51.3333333333333
2016-06-26,47,"2016-06",51.3333333333333
2016-06-27,52,"2016-06",51.3333333333333
2016-06-28,55,"2016-06",51.3333333333333
2016-06-29,47,"2016-06",51.3333333333333
2016-06-30,51,"2016-06",51.3333333333333
2016-07-01,50,"2016-07",51.8064516129032
2016-07-02,56,"2016-07",51.8064516129032
2016-07-03,53,"2016-07",51.8064516129032
2016-07-04,53,"2016-07",51.8064516129032
2016-07-05,54,"2016-07",51.8064516129032
2016-07-06,51,"2016-07",51.8064516129032
2016-07-07,46,"2016-07",51.8064516129032
2016-07-08,59,"2016-07",51.8064516129032
2016-07-09,48,"2016-07",51.8064516129032
2016-07-10,53,"2016-07",51.8064516129032
2016-07-11,51,"2016-07",51.8064516129032
2016-07-12,53,"2016-07",51.8064516129032
2016-07-13,48,"2016-07",51.8064516129032
2016-07-14,50,"2016-07",51.8064516129032
2016-07-15,49,"2016-07",51.8064516129032
2016-07-16,57,"2016-07",51.8064516129032
2016-07-17,51,"2016-07",51.8064516129032
2016-07-18,53,"2016-07",51.8064516129032
2016-07-19,54,"2016-07",51.8064516129032
2016-07-20,60,"2016-07",51.8064516129032
2016-07-21,51,"2016-07",51.8064516129032
2016-07-22,48,"2016-07",51.8064516129032
2016-07-23,51,"2016-07",51.8064516129032
2016-07-24,52,"2016-07",51.8064516129032
2016-07-25,54,"2016-07",51.8064516129032
2016-07-26,52,"2016-07",51.8064516129032
2016-07-27,54,"2016-07",51.8064516129032
2016-07-28,46,"2016-07",51.8064516129032
2016-07-29,51,"2016-07",51.8064516129032
2016-07-30,49,"2016-07",51.8064516129032
2016-07-31,49,"2016-07",51.8064516129032
2016-08-01,52,"2016-08",51.2903225806452
2016-08-02,46,"2016-08",51.2903225806452
2016-08-03,51,"2016-08",51.2903225806452
2016-08-04,54,"2016-08",51.2903225806452
2016-08-05,50,"2016-08",51.2903225806452
2016-08-06,53,"2016-08",51.2903225806452
2016-08-07,52,"2016-08",51.2903225806452
2016-08-08,47,"2016-08",51.2903225806452
2016-08-09,58,"2016-08",51.2903225806452
2016-08-10,50,"2016-08",51.2903225806452
2016-08-11,53,"2016-08",51.2903225806452
2016-08-12,53,"2016-08",51.2903225806452
2016-08-13,61,"2016-08",51.2903225806452
2016-08-14,51,"2016-08",51.2903225806452
2016-08-15,47,"2016-08",51.2903225806452
2016-08-16,55,"2016-08",51.2903225806452
2016-08-17,52,"2016-08",51.2903225806452
2016-08-18,52,"2016-08",51.2903225806452
2016-08-19,52,"2016-08",51.2903225806452
2016-08-20,49,"2016-08",51.2903225806452
2016-08-21,49,"2016-08",51.2903225806452
2016-08-22,51,"2016-08",51.2903225806452
2016-08-23,52,"2016-08",51.2903225806452
2016-08-24,49,"2016-08",51.2903225806452
2016-08-25,48,"2016-08",51.2903225806452
2016-08-26,52,"2016-08",51.2903225806452
2016-08-27,52,"2016-08",51.2903225806452
2016-08-28,48,"2016-08",51.2903225806452
2016-08-29,57,"2016-08",51.2903225806452
2016-08-30,49,"2016-08",51.2903225806452
2016-08-31,45,"2016-08",51.2903225806452
2016-09-01,50,"2016-09",51.2666666666667
2016-09-02,55,"2016-09",51.2666666666667
2016-09-03,52,"2016-09",51.2666666666667
2016-09-04,53,"2016-09",51.2666666666667
2016-09-05,50,"2016-09",51.2666666666667
2016-09-06,50,"2016-09",51.2666666666667
2016-09-07,51,"2016-09",51.2666666666667
2016-09-08,50,"2016-09",51.2666666666667
2016-09-09,56,"2016-09",51.2666666666667
2016-09-10,56,"2016-09",51.2666666666667
2016-09-11,48,"2016-09",51.2666666666667
2016-09-12,52,"2016-09",51.2666666666667
2016-09-13,56,"2016-09",51.2666666666667
2016-09-14,52,"2016-09",51.2666666666667
2016-09-15,50,"2016-09",51.2666666666667
2016-09-16,48,"2016-09",51.2666666666667
2016-09-17,53,"2016-09",51.2666666666667
2016-09-18,51,"2016-09",51.2666666666667
2016-09-19,50,"2016-09",51.2666666666667
2016-09-20,53,"2016-09",51.2666666666667
2016-09-21,46,"2016-09",51.2666666666667
2016-09-22,57,"2016-09",51.2666666666667
2016-09-23,48,"2016-09",51.2666666666667
2016-09-24,51,"2016-09",51.2666666666667
2016-09-25,47,"2016-09",51.2666666666667
2016-09-26,51,"2016-09",51.2666666666667
2016-09-27,50,"2016-09",51.2666666666667
2016-09-28,48,"2016-09",51.2666666666667
2016-09-29,48,"2016-09",51.2666666666667
2016-09-30,56,"2016-09",51.2666666666667
2016-10-01,50,"2016-10",49.3448275862069
2016-10-02,44,"2016-10",49.3448275862069
2016-10-03,54,"2016-10",49.3448275862069
2016-10-04,46,"2016-10",49.3448275862069
2016-10-05,49,"2016-10",49.3448275862069
2016-10-06,47,"2016-10",49.3448275862069
2016-10-07,53,"2016-10",49.3448275862069
2016-10-08,50,"2016-10",49.3448275862069
2016-10-09,51,"2016-10",49.3448275862069
2016-10-10,51,"2016-10",49.3448275862069
2016-10-11,48,"2016-10",49.3448275862069
2016-10-12,51,"2016-10",49.3448275862069
2016-10-13,52,"2016-10",49.3448275862069
2016-10-14,48,"2016-10",49.3448275862069
2016-10-15,48,"2016-10",49.3448275862069
2016-10-16,45,"2016-10",49.3448275862069
2016-10-17,56,"2016-10",49.3448275862069
2016-10-18,55,"2016-10",49.3448275862069
2016-10-19,52,"2016-10",49.3448275862069
2016-10-20,50,"2016-10",49.3448275862069
2016-10-21,55,"2016-10",49.3448275862069
2016-10-22,49,"2016-10",49.3448275862069
2016-10-23,46,"2016-10",49.3448275862069
2016-10-24,48,"2016-10",49.3448275862069
2016-10-25,44,"2016-10",49.3448275862069
2016-10-26,47,"2016-10",49.3448275862069
2016-10-27,46,"2016-10",49.3448275862069
2016-10-28,49,"2016-10",49.3448275862069
2016-10-29,47,"2016-10",49.3448275862069
